PitchNo,Date,Time,Pitcher,PitcherId,TaggedPitchType,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle
26,10/1/2024,8:39:26 AM,Lilly Whitten,,Curveball,64.35515338986946,5.439717688134509,-2.618177042,1040.329242,21.569172387573172,6:45,1.8558217262233747,0.28502600436459735,6.000000191999998,-33.75751035,-3.618879111,-1.956798365,2.4426527031928216,-1.508977918,59.32209767994251,-3.939410539,-3.162449666
27,10/1/2024,8:39:42 AM,Lilly Whitten,,Curveball,65.01331198,4.919716680102954,-1.977970503,1141.209923,33.070084834979106,7:00,1.8831583311502431,0.40175552249450075,6.000000191999998,-32.8331943,-3.368498168,-3.163087254,2.218936561,-1.093601149,59.99108416144583,-4.209467405,-2.858559542
28,10/1/2024,8:40:07 AM,Lilly Whitten,,Riseball,62.20598098872924,6.0443662249231815,0.879079644,1293.454373,158.00181919095584,11:15,1.403410629817006,0.20808106459552225,6.000000191999998,-28.92247131,3.346929277298905,-0.460584106,2.770257047975095,0.7169646520431958,57.143736638001855,-1.997093558,0.7506615058096952
29,10/1/2024,8:40:32 AM,Lilly Whitten,,,48.50361913068631,3.1498354122328847,-0.223993205,880.1527576,86.57598134713167,9:00,2.0613859384105107,-0.108134499,6.000000191999998,-51.37385742,1.3301933512131825,-9.37574164,1.5711732898016941,-1.210919505,25.78666151911666,29.968705316369785,-4.460259033
30,10/1/2024,8:41:01 AM,Lilly Whitten,,Changeup,48.52504732763016,9.869075384994337,-1.086772283,852.5890775,88.61687790714369,9:00,2.0006278739514736,0.42753580367386274,6.000000191999998,-52.39356751,1.6764505075381635,-5.948316291,3.840550306780941,-0.744748666,44.29510613922636,-4.63099318,-2.744186344
,,,,,,,,,,,,,,,,,,,,,,
,Riseball Averages,,,Curveball Averages,,,Changeup Averages,,,,,,,,,,,,,,,
,Speed,63.70085327,,Speed,65.39386955,,Speed,,,,,,,,,,,,,,,
,Vertical Break,-29.84855834,,Vertical Break,-32.87154704,,Vertical Break,,,,,,,,,,,,,,,
,Horizontal Break,-0.984670565,,Horizontal Break,-2.322496995,,Horizontal Break,,,,,,,,,,,,,,,
,Spin Rate,,,Spin Rate,,,Spin Rate,,,,,,,,,,,,,,,
,Tilt,9:48,,Tilt,6:53,,Tilt,,,,,,,,,,,,,,,
